Date,UserID,ItemID,Event
2022-01-10 10:15:53,1469,1784,description
2022-01-10 10:18:22,1469,1784,category
2022-01-10 10:20:26,2051,509,description
2022-01-10 10:22:59,2051,509,visit_brand_shop
2022-01-10 10:25:07,2064,1231,description
2022-01-10 10:25:17,2051,509,category
2022-01-10 10:27:52,2064,1231,visit_brand_shop
2022-01-10 10:29:46,2064,1231,category
2022-01-10 10:30:11,2492,343,description
2022-01-10 10:32:36,2492,343,category
2022-01-10 10:42:03,142,1504,description
2022-01-10 10:42:52,142,1504,visit_brand_shop
2022-01-10 10:44:57,2056,1638,description
2022-01-10 10:45:21,2056,1638,more_details
2022-01-10 10:45:43,142,1504,category
2022-01-10 10:54:10,495,808,description
2022-01-10 10:54:45,2268,1318,description
2022-01-10 10:55:00,495,808,category
2022-01-10 10:56:27,2085,935,description
2022-01-10 10:57:22,2085,935,visit_brand_shop
2022-01-10 10:57:33,2085,935,read_review
2022-01-10 11:20:58,756,761,description
2022-01-10 11:23:28,756,761,visit_brand_shop
2022-01-10 11:25:35,756,761,category
2022-01-10 11:28:18,1288,589,description
2022-01-10 11:30:12,2282,1189,description
2022-01-10 11:30:38,1288,589,category
2022-01-10 11:32:55,2733,762,description
2022-01-10 11:33:06,2282,1189,more_details
2022-01-10 11:33:50,2733,762,more_details
2022-01-10 11:36:13,2733,762,visit_brand_shop
2022-01-10 11:36:33,2733,762,category
2022-01-10 11:38:44,766,209,description
2022-01-10 11:39:46,766,209,more_details
2022-01-10 11:40:22,766,209,category
2022-01-10 11:40:27,2325,1293,description
2022-01-10 11:40:36,2325,1293,more_details
2022-01-10 11:40:53,766,209,read_review
2022-01-10 11:43:50,2730,1185,description
2022-01-10 11:45:25,483,977,description
2022-01-10 11:45:47,2730,1185,more_details
2022-01-10 11:46:44,2730,1185,category
2022-01-10 11:47:29,483,977,more_details
2022-01-10 11:48:35,2730,1185,read_review
2022-01-10 11:49:13,483,977,visit_brand_shop
2022-01-10 11:51:23,1027,1395,description
2022-01-10 11:51:37,1027,1395,more_details
2022-01-10 11:53:24,1027,1395,visit_brand_shop
2022-01-10 11:55:50,1027,1395,category
2022-01-10 12:05:10,2885,1931,description
2022-01-10 12:05:29,2885,1931,visit_brand_shop
2022-01-10 12:11:14,1064,1660,description
2022-01-10 12:12:59,1064,1660,more_details
2022-01-10 12:13:31,1064,1660,visit_brand_shop
2022-01-10 12:14:43,2252,1978,description
2022-01-10 12:15:41,2252,1978,visit_brand_shop
2022-01-10 12:17:03,2252,1978,category
2022-01-10 12:17:42,2042,1027,description
2022-01-10 12:18:40,1546,457,description
2022-01-10 12:20:04,1546,457,category
2022-01-10 12:20:26,2042,1027,visit_brand_shop
2022-01-10 12:21:08,2042,1027,category
2022-01-10 12:22:07,2042,1027,read_review
2022-01-10 12:25:21,2198,996,description
2022-01-10 12:27:12,2198,996,category
2022-01-10 12:34:36,1021,1767,description
2022-01-10 12:36:27,1021,1767,visit_brand_shop
2022-01-10 12:36:58,2874,1949,description
2022-01-10 12:37:44,2874,1949,more_details
2022-01-10 12:38:32,1021,1767,category
2022-01-10 12:38:47,2874,1949,visit_brand_shop
2022-01-10 12:38:55,2874,1949,category
2022-01-10 12:39:32,1463,211,description
2022-01-10 12:40:49,1463,211,category
2022-01-10 12:40:57,891,521,description
2022-01-10 12:40:59,1463,211,read_review
2022-01-10 12:43:15,891,521,category
2022-01-10 12:48:17,400,803,description
2022-01-10 12:48:44,1527,2,description
2022-01-10 12:49:07,400,803,more_details
2022-01-10 12:49:33,400,803,category
2022-01-10 12:49:35,736,691,description
2022-01-10 12:50:14,1494,1673,description
2022-01-10 12:50:18,736,691,category
2022-01-10 12:50:42,1527,2,more_details
2022-01-10 12:50:43,1494,1673,category
2022-01-10 12:53:09,2505,810,description
2022-01-10 12:53:15,2505,810,more_details
2022-01-10 12:55:33,2505,810,visit_brand_shop
2022-01-10 12:57:04,2505,810,category
2022-01-10 12:58:37,2505,810,read_review
2022-01-10 13:02:17,124,222,description
2022-01-10 13:02:55,124,222,category
